GEOID,NAME,total_households,renter_households,pct_renter
01,Alabama,2296920,585358,0.254844748619891
02,Alaska,326188,89178,0.2733944841625075
04,Arizona,3097768,923784,0.2982095495853789
05,Arkansas,1371709,395738,0.2884999661006817
06,California,14424442,5908461,0.40961452789646907
08,Colorado,2500095,770497,0.30818708889062213
09,Connecticut,1531332,477219,0.3116365360352948
10,Delaware,451556,109077,0.24155807917511893
11,District of Columbia,350372,184920,0.5277819003801674
12,Florida,9915957,2767517,0.2790973175861896
13,Georgia,4426780,1380613,0.31187748205241733
15,Hawaii,560873,185090,0.33000340540550177
16,Idaho,758877,189044,0.24911019835889084
17,Illinois,5427357,1655952,0.3051120462501361
18,Indiana,2931710,793030,0.2705008339842617
19,Iowa,1417064,367455,0.25930727193690617
20,Kansas,1278548,380760,0.2978065743327587
21,Kentucky,1999202,564035,0.28213006989788925
22,Louisiana,2080371,579631,0.27861905400527115
23,Maine,741803,153933,0.2075119674630596
24,Maryland,2531075,754068,0.2979240046225418
25,Massachusetts,2999314,1029654,0.34329650046644
26,Michigan,4580447,1102783,0.24075881677050295
27,Minnesota,2493956,624425,0.25037530734303254
28,Mississippi,1324992,345804,0.26098572670627446
29,Missouri,2795030,796470,0.28495937431798585
30,Montana,517430,137485,0.2657074386873587
31,Nebraska,848023,259728,0.3062747118887106
32,Nevada,1288357,483711,0.3754479542549154
33,New Hampshire,640335,151171,0.2360811137919995
34,New Jersey,3756340,1242331,0.3307291139779679
35,New Mexico,943149,254673,0.2700241425267906
36,New York,8494452,3476404,0.4092558295697003
37,North Carolina,4739881,1387271,0.29268055463839704
38,North Dakota,372376,117825,0.316414054611468
39,Ohio,5251209,1589094,0.30261488354396104
40,Oklahoma,1751802,518633,0.2960568603072722
41,Oregon,1818599,618278,0.339974892760856
42,Pennsylvania,5753908,1600237,0.2781130668060734
44,Rhode Island,483053,161269,0.33385363510836286
45,South Carolina,2362253,588423,0.24909397934937536
46,South Dakota,396623,110854,0.2794946334428412
47,Tennessee,3050850,893910,0.2930035891636757
48,Texas,11654971,3944826,0.3384672514414665
49,Utah,1162654,311167,0.2676350831803787
50,Vermont,335138,72636,0.21673459888165472
51,Virginia,3625285,1090477,0.3007975924651441
53,Washington,3216243,1079020,0.3354908195680488
54,West Virginia,859142,185013,0.2153462407844105
55,Wisconsin,2734511,783898,0.2866684390737503
56,Wyoming,273291,65763,0.24063361032745315
72,Puerto Rico,1563129,389715,0.2493172348539372
